AVAILABLE,VERSION,NAME,ID,ALT_EXE,ALT_RUN_MODE,ROM,VIDEOS_PATH,WEBLINK_URL,WEBLINK2_URL
YES,1.3,Aliens,Aliens,None,None,None,FP_PE_ALIENS_LEGACY_GOM,https://vpuniverse.com/files/file/15148-aliens-legacy-game-over-man-pinevent-lite-fizx-33/,None
YES,1.3,Blade Runner,Blade Runner,None,None,None,FP_PE_BLADE_RUNNER_RE,https://vpuniverse.com/files/file/15041-blade-runner-replicant-edition-pinevent-lite-fizx-33/,None
YES,2.1,Blue vs Pink,Blue vs Pink,None,None,None,FP_PE_BLUE_VS_PINK_BAM,https://vpuniverse.com/files/file/8521-blue-vs-pink-bam-edition-pinevent-v2-fizx-33/,None
YES,1.2,Godzilla,Godzilla,None,None,None,None,https://vpuniverse.com/files/file/9667-godzilla-fastdraw/,None
YES,2.0,Halloween,Halloween,None,None,None,FP_PE_HALLOWEEN_BBM,https://vpuniverse.com/files/file/6091-halloween-big-bloody-mike-pinevent-v2-fizx-33/,None
YES,1.3,Indiana Jones,Indiana Jones,None,None,None,FP_PE_INDIANA_JONES_FGE,https://vpuniverse.com/files/file/14879-indiana-jones-fortune-and-glory-edition-pinevent-lite-fizx-33/,None
YES,1.7,Jaws,Jaws,None,None,None,FP_PE_JAWS_BBE,https://vpuniverse.com/files/file/11881-jaws-bigger-boat-edition-pinevent-v2-fizx-33/,None
YES,1.2.0,Jungle Girl,Jungle Girl,None,None,None,None,https://vpuniverse.com/files/file/15484-jungle-girl-v12/,None
YES,2.1,Junkyard Cats,Junkyard Cats,None,None,None,FP_PE_JUNKYARD_CATS_BAM,https://vpuniverse.com/files/file/8525-junkyard-cats-bam-edition-pinevent-v2-fizx-33/,None
YES,1.06,Marvel Iron Man,Iron Man,None,None,None,None,https://vpuniverse.com/files/file/4337-iron-man-ultimate-edition-106-doflinx-cabinet-edition/,None
YES,1.3,Masters of the Universe,Masters of the Universe,None,None,None,FP_PE_MOTU_CE,https://vpuniverse.com/files/file/22783-masters-of-the-universe-collectors-edition-pinevent-v2-fizx-33/,None
YES,3.5,Metal Slug,Metal Slug,None,None,None,None,https://vpuniverse.com/files/file/15297-metal-slug-v35-bam-fizx/,None
YES,0.97,Naruto,Naruto,None,None,None,None,https://pinballnirvana.com/forums/resources/naruto-original-by-benathar.6593/,None
YES,2.2,Retroflair,Retroflair,None,None,None,FP_PE_RETROFLAIR_BE,None,None
YES,1.3,Robocop,RoboCop Dead or Alive Edition,None,None,None,FP_PE_ROBOCOP_DOAE,https://vpuniverse.com/files/file/14985-robocop-dead-or-alive-edition-pinevent-lite-fizx-33/,None
YES,2.0,Sonic,Sonic Pinball Mania,None,None,None,FP_PE_SONIC_PINBALL_MANIA,https://vpuniverse.com/files/file/9345-sonic-pinball-mania-pinevent-v2-fizx-33/,None
YES,1.7,Star Wars 1,Star Wars DSA,None,None,None,FP_PE_SW_DSA_GE,https://vpuniverse.com/files/file/10850-star-wars-death-star-assault-galactic-edition-pinevent-v2-fizx-33/,None
YES,1.0,Star Wars 2,Star Wars PRO,None,None,None,None,None,None
YES,1.0.0,Super Mario Bros,Super Mario Mushroom,None,None,None,None,None,None
YES,1.0.0,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,None,None,None,None,https://vpuniverse.com/files/file/10256-tmnt-stern/,None
