AVAILABLE,VERSION,NAME,ID,ALT_EXE,ALT_RUN_MODE,ROM,VIDEOS_PATH,WEBLINK_URL,WEBLINK2_URL
YES,latest,A Charlie Brown Christmas,A Charlie Brown Christmas,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",181,None,None,None
YES,latest,A Samurais Vengeance,A Samurais Vengeance,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",165,None,None,None
YES,latest,Addams Family,The Addams Family,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",156,None,None,None
YES,latest,Adventure Land,Adventure Land,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",29,None,None,None
YES,latest,Attack from Mars,Attack from Mars,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",119,None,None,None
YES,latest,Back To The Future,Back to the Future,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",97,None,None,None
YES,latest,Banzai Run,Banzai Run,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",188,None,None,None
YES,latest,Battlestar Galactica,Battlestar Galactica,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",170,None,None,None
YES,latest,Biolab,Biolab,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",27,None,None,None
YES,latest,Black Knight 2000,Black Knight 2000,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",190,None,None,None
YES,latest,Black Rose,Black Rose,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",118,None,None,None
YES,latest,Borderlands Vault Hunter,Borderlands Vault Hunter,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",152,None,None,None
YES,latest,Brothers in Arms Win the War,Brothers in Arms Win the War,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",151,None,None,None
YES,latest,Castle Storm,Castle Storm,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",40,None,None,None
YES,latest,Champion Pub,The Champion Pub,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",121,None,None,None
YES,latest,Cirqus Voltaire,Cirqus Voltaire,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",127,None,None,None
YES,latest,Creature from the Black Lagoon,Creature from the Black Lagoon,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",131,None,None,None
YES,latest,Crypt of the NecroDancer,Crypt of the NecroDancer,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",161,None,None,None
YES,latest,Curse of the Mummy,Curse of the Mummy,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",112,None,None,None
YES,latest,Doctor Dude,Dr. Dude and his Excellent Ray,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",135,None,None,None
YES,latest,Dragon,How to Train Your Dragon,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",141,None,None,None
YES,latest,E.T.,E.T. Pinball,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",96,None,None,None
YES,latest,Earthshaker,Earthshaker,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",189,None,None,None
YES,latest,Epic Quest,Epic Quest,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",67,None,None,None
YES,latest,Excalibur,Excalibur,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",20,None,None,None
YES,latest,Exploding Kittens,Exploding Kittens,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",178,None,None,None
YES,latest,Fish Tales,Fish Tales,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",108,None,None,None
YES,latest,Fun House,FunHouse,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",134,None,None,None
YES,latest,Garfield,Garfield Pinball,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",145,None,None,None
YES,latest,Getaway High Speed II,The Getaway High Speed II,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",111,None,None,None
YES,latest,Gloomhaven,Gloomhaven,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",179,None,None,None
YES,latest,Goat Simulator,Goat Simulator,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",187,None,None,None
YES,latest,Godzilla,Godzilla Pinball,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",158,None,None,None
