AVAILABLE,VERSION,NAME,ID,ALT_EXE,ALT_RUN_MODE,ROM,VIDEOS_PATH,WEBLINK_URL,WEBLINK2_URL
YES,latest,Adventure Land,Amusement_Park,None,"hotseat2,hotseat3,hotseat4",None,Amusement_Park,None,None
YES,latest,Aliens 1,Alien_Isolation,None,"hotseat2,hotseat3,hotseat4",None,Alien_Isolation,None,None
YES,latest,Aliens 2,Alien_vs_Predator,None,"hotseat2,hotseat3,hotseat4",None,Alien_vs_Predator,None,None
YES,2.0.0,Aliens 3,Aliens,None,"hotseat2,hotseat3,hotseat4",None,Aliens,None,None
YES,latest,American Dad,AmericanDad,None,"hotseat2,hotseat3,hotseat4",None,AmericanDad,None,None
YES,latest,Archer,Archer,None,"hotseat2,hotseat3,hotseat4",None,Archer,None,None
YES,latest,Attack from Mars,BALLY_Attack_from_Mars,None,"hotseat2,hotseat3,hotseat4",None,BALLY_Attack_from_Mars,None,None
YES,latest,Back To The Future,UNIVERSAL_BTTF,None,"hotseat2,hotseat3,hotseat4",None,UNIVERSAL_BTTF,None,None
YES,latest,BioLab,BioLab,None,"hotseat2,hotseat3,hotseat4",None,BioLab,None,None
YES,latest,Black Rose,BALLY_BlackRose,None,"hotseat2,hotseat3,hotseat4",None,BALLY_BlackRose,None,None
YES,latest,Bobs Burgers,BobsBurgers,None,"hotseat2,hotseat3,hotseat4",None,BobsBurgers,None,None
YES,latest,Castle Storm,CastleStorm,None,"hotseat2,hotseat3,hotseat4",None,CastleStorm,None,None
YES,latest,Champion Pub,BALLY_Champion_Pub,None,"hotseat2,hotseat3,hotseat4",None,BALLY_Champion_Pub,None,None
YES,latest,Cirqus Voltaire,BALLY_Cirqus_Voltaire,None,"hotseat2,hotseat3,hotseat4",None,BALLY_Cirqus_Voltaire,None,None
YES,latest,Creature from the Black Lagoon,BALLY_Creature_from_the_Black_Lagoon,None,"hotseat2,hotseat3,hotseat4",None,BALLY_Creature_from_the_Black_Lagoon,None,None
YES,latest,Doctor Dude,BALLY_Dr_Dude,None,"hotseat2,hotseat3,hotseat4",None,None,None,None
YES,latest,Doom,BETHESDA_Doom,None,"hotseat2,hotseat3,hotseat4",None,BETHESDA_Doom,None,None
YES,latest,E.T.,UNIVERSAL_ET,None,"hotseat2,hotseat3,hotseat4",None,UNIVERSAL_ET,None,None
YES,latest,Earth Defense,EarthDefense,None,"hotseat2,hotseat3,hotseat4",None,EarthDefense,None,None
YES,latest,Eldorado,Eldorado,None,"hotseat2,hotseat3,hotseat4",None,Eldorado,None,None
YES,latest,Epic Quest,Looter,None,"hotseat2,hotseat3,hotseat4",None,Looter,None,None
YES,latest,Excalibur,Excalibur,None,"hotseat2,hotseat3,hotseat4",None,Excalibur,None,None
YES,latest,Fallout,BETHESDA_Fallout,None,"hotseat2,hotseat3,hotseat4",None,BETHESDA_Fallout,None,None
YES,latest,Family Guy,FamilyGuy,None,"hotseat2,hotseat3,hotseat4",None,FamilyGuy,None,None
YES,latest,Fish Tales,WMS_Fish_Tales,None,"hotseat2,hotseat3,hotseat4",None,WMS_Fish_Tales,None,None
YES,latest,Fun House,WMS_Funhouse,None,"hotseat2,hotseat3,hotseat4",None,None,None,None
YES,latest,Getaway High Speed II,WMS_Getaway,None,"hotseat2,hotseat3,hotseat4",None,WMS_Getaway,None,None
YES,latest,Hurricane,WMS_Hurricane,None,"hotseat2,hotseat3,hotseat4",None,WMS_Hurricane,None,None
YES,latest,Indiana Jones,WMS_Indiana_Jones,None,"hotseat2,hotseat3,hotseat4",None,None,None,None
YES,latest,Jaws,UNIVERSAL_Jaws,None,"hotseat2,hotseat3,hotseat4",None,UNIVERSAL_Jaws,None,None
YES,latest,Junk Yard,WMS_Junkyard,None,"hotseat2,hotseat3,hotseat4",None,WMS_Junkyard,None,None
YES,latest,Jurassic Park 1,UNIVERSAL_Jurassic_Park,None,"hotseat2,hotseat3,hotseat4",None,UNIVERSAL_Jurassic_Park,None,None
YES,latest,Jurassic Park 2,UNIVERSAL_Jurassic_Theme_Park,None,"hotseat2,hotseat3,hotseat4",None,UNIVERSAL_Jurassic_Theme_Park,None,None
YES,latest,Jurassic World,UNIVERSAL_Jurassic_World,None,"hotseat2,hotseat3,hotseat4",None,UNIVERSAL_Jurassic_World,None,None
YES,latest,Marvel Ant-Man,MARVEL_Ant-Man,None,"hotseat2,hotseat3,hotseat4",None,MARVEL_Ant-Man,None,None
YES,latest,Marvel Avengers Ep 1 The Avengers,MARVEL_Avengers,None,"hotseat2,hotseat3,hotseat4",None,MARVEL_Avengers,None,None
YES,latest,Marvel Avengers Ep 2 Age of Ultron,MARVEL_Age_of_Ultron,None,"hotseat2,hotseat3,hotseat4",None,MARVEL_Age_of_Ultron,None,None
YES,latest,Marvel Avengers Ep 3 The Infinity Gauntlet,MARVEL_InfinityGauntlet,None,"hotseat2,hotseat3,hotseat4",None,MARVEL_InfinityGauntlet,None,None
YES,latest,Marvel Blade,MARVEL_Blade,None,"hotseat2,hotseat3,hotseat4",None,MARVEL_Blade,None,None
YES,latest,Marvel Captain America,MARVEL_CaptainAmerica,None,"hotseat2,hotseat3,hotseat4",None,MARVEL_CaptainAmerica,None,None
YES,latest,Marvel Civil War,MARVEL_CivilWar,None,"hotseat2,hotseat3,hotseat4",None,MARVEL_CivilWar,None,None
YES,latest,Marvel Deadpool,MARVEL_Deadpool,None,"hotseat2,hotseat3,hotseat4",None,MARVEL_Deadpool,None,None
YES,latest,Marvel Doctor Strange,MARVEL_DrStrange,None,"hotseat2,hotseat3,hotseat4",None,MARVEL_DrStrange,None,None
YES,latest,Marvel Fantastic Four,MARVEL_FantasticFour,None,"hotseat2,hotseat3,hotseat4",None,MARVEL_FantasticFour,None,None
YES,latest,Marvel Fear It Self,MARVEL_FearItSelf,None,"hotseat2,hotseat3,hotseat4",None,MARVEL_FearItSelf,None,None
YES,latest,Marvel Ghost Rider,MARVEL_GhostRider,None,"hotseat2,hotseat3,hotseat4",None,MARVEL_GhostRider,None,None
YES,latest,Marvel Guardians of the galaxy,MARVEL_Guardians,None,"hotseat2,hotseat3,hotseat4",None,MARVEL_Guardians,None,None
YES,latest,Marvel Iron Man,MARVEL_IronMan,None,"hotseat2,hotseat3,hotseat4",None,MARVEL_IronMan,None,None
YES,latest,Marvel Moon Knight,MARVEL_MoonKnight,None,"hotseat2,hotseat3,hotseat4",None,MARVEL_MoonKnight,None,None
