AVAILABLE,VERSION,NAME,ID,ALT_EXE,ALT_RUN_MODE,ROM,VIDEOS_PATH,WEBLINK_URL,WEBLINK2_URL
YES,2.1,24,24 (Stern 2009),VPinballX10_8_0_directx_64bit.exe,None,twenty4_150,None,https://vpuniverse.com/files/file/20448-24-stern-2009-v21-dt-fs-fss-vr,None
YES,1.13,ACDC,ACDC LUCI (Stern 2013) VPW,VPinballX10_8_0_directx_64bit.exe,None,acd_170h,acd_170h,https://vpuniverse.com/files/file/12471-acdc-luci-stern-2013-vpw-mod,None
YES,2.4.41,Addams Family,Addams Family (Bally1992),VPinballX10_8_0_directx_64bit.exe,None,TAF_L7,TAF_L7,https://vpuniverse.com/files/file/20654-the-addams-family-bally-1992-2441vpx,None
YES,1.02,Aerosmith,Aerosmith (Stern 2017),VPinballX10_8_0_directx_64bit.exe,None,None,aerosmith,https://vpuniverse.com/files/file/13403-aerosmith-pro-sterntribute-2017-v102zip-with-vr/,None
YES,2.1.4,Apollo 13,Apollo 13 (Sega 1995),VPinballX10_8_0_directx_64bit.exe,None,apollo13,apollo13,https://vpuniverse.com/files/file/7722-apollo-13-sega-1995-w-vr-room/,None
YES,3.2,Asterix les 12 travaux,Asterix les 12 travaux (Original 2022),VPinballX10_7_3_32bit.exe,None,None,Asterix the Twelve Tasks,https://vpuniverse.com/files/file/9938-asterix-the-twelve-tasks-original-2022-v32,None
YES,1.3.11,Attack from Mars,Attack from Mars (Bally 1995),VPinballX10_8_0_directx_64bit.exe,None,afm_113b,afm_113b,https://vpuniverse.com/files/file/16113-attack-from-mars-bally-1995-g5k-1311vpx/,None
YES,1.0.3,Austin Powers,Austin Powers (Stern 2001) VPW,VPinballX10_7_3_32bit.exe,None,austin,austin,https://vpuniverse.com/files/file/6522-austin-powers-stern-2001-vpw-mod/,None
YES,3.0,Avatar,Avatar (Stern 2010),VPinballX10_8_0_directx_64bit.exe,None,avr_200,avr_200,https://www.vpforums.org/index.php?app=downloads&showfile=14294,None
YES,1.05,Back To The Future 1,Back To The Future (Data East 1990),VPinballX10_8_0_directx_64bit.exe,None,bttf_a27,bttf_a27,https://vpuniverse.com/files/file/19188-back-to-the-future-the-pinball-data-east-1990/,None
YES,2.0,Back To The Future 2,Back To The Future trilogie ver 2.0,VPinballX10_8_0_directx_64bit.exe,None,bttf_a28,bttf_a28,https://vpuniverse.com/files/file/10454-bttf-trilogy-20/,None
YES,3.1,Bad Cats,Bad Cats (williams 1989) VPW,VPinballX10_8_0_directx_64bit.exe,None,bcats_l5,None,https://vpuniverse.com/files/file/6529-bad-cats-williams-1989-vpw-mod/,None
YES,1.1,Batman 1991,Batman (Data East 1991) VPW,VPinballX10_8_0_directx_64bit.exe,None,btmn_106,btmn_106,https://vpuniverse.com/files/file/7502-batman-data-east-1991-vpw/,None
YES,1.1.0,Batman 66,Batman66,VPinballX10_7_3_32bit.exe,None,None,b66_orig,https://vpuniverse.com/files/file/6868-batman-66-stern-tribute%C2%A0/,None
YES,1.3,Batman Forever,Batman Forever (Sega 1995),VPinballX10_8_0_directx_64bit.exe,None,batmanf,batmanf,https://vpuniverse.com/files/file/11601-batman-forever-sega-1995-with-vr-room/,None
YES,1.16,Batman The Dark Knight,Batman The Dark Knight (Stern 2008),VPinballX10_8_0_directx_64bit.exe,None,bdk_294,bdk_294,https://vpuniverse.com/files/file/11451-batman-the-dark-knight-stern-2008-bord-mod/,None
YES,latest,Baywatch,Baywatch,VPinballX10_8_0_directx_64bit.exe,None,baywatch,baywatch,None,None
YES,latest,Beatles,Beatles,VPinballX10_7_3_32bit.exe,None,seawitfp,seawitfp,None,None
YES,2.1,Big Bang Bar,Big Bang Bar (Capcom 1996) VPW,VPinballX10_8_0_directx_64bit.exe,None,bbb109,None,https://vpuniverse.com/files/file/13634-big-bang-bar-capcom-1996-vpw/,None
YES,1.8,Big Trouble in Little China,Big Trouble in Little China,VPinballX10_8_0_directx_64bit.exe,None,None,BigTrouble,https://vpuniverse.com/files/file/11309-big-trouble-in-little-china/,None
YES,2.0.2,Black Knight 2000,Black Knight 2000 (Williams 1989),VPinballX10_8_0_directx_64bit.exe,None,bk2k_l4,None,https://vpuniverse.com/files/file/9054-black-knight-2000-williams-1989-w-vr-room/,None
YES,1.4,Black Rose,Black Rose (Bally 1992) VPW,VPinballX10_8_0_directx_64bit.exe,None,br_l4,br_l4,https://vpuniverse.com/files/file/7935-black-rose-bally-1992-vpw-mod/,None
YES,latest,Breaking Bad,Breaking Bad,VPinballX10_8_0_directx_64bit.exe,None,None,BreakingBadvp,None,None
YES,1.0.1,Buffy The Vampire Slayer,Buffy The Vampire Slayer,VPinballX10_8_0_directx_64bit.exe,None,None,VpBuffyVamp,https://vpuniverse.com/files/file/11811-buffy-the-vampire-slayer-vp_cooks/,None
